timestamp,cpu_percent,cpu_freq_mhz,cpu_temp_celsius,memory_percent,memory_used_gb,memory_total_gb,disk_percent,disk_used_gb,disk_total_gb,load_1min,load_5min,load_15min,network_bytes_sent,network_bytes_recv
2025-07-27 21:36:32,0.0,1800.0,38.46,5.4,0.28,7.63,30.18,17.56,58.2,0.33,0.4,0.21,404353,1399620
2025-07-27 21:36:43,0.7,600.0,38.46,5.4,0.28,7.63,30.18,17.56,58.2,0.28,0.39,0.2,428015,1498964
2025-07-27 21:36:54,0.5,600.0,37.0,5.4,0.28,7.63,30.18,17.56,58.2,0.32,0.39,0.21,437463,1510504
2025-07-27 21:37:05,0.0,600.0,37.97,5.4,0.28,7.63,30.18,17.56,58.2,0.27,0.38,0.2,454833,1587369
2025-07-27 21:37:16,0.2,600.0,38.46,5.4,0.28,7.63,30.18,17.56,58.2,0.21,0.36,0.2,458807,1592448
2025-07-27 21:37:27,0.8,600.0,37.0,5.4,0.28,7.63,30.18,17.56,58.2,0.25,0.36,0.2,473207,1666381
2025-07-27 21:37:38,0.2,600.0,37.48,5.4,0.28,7.63,30.18,17.56,58.2,0.21,0.35,0.2,478115,1673688
2025-07-27 21:37:49,0.7,700.0,37.97,5.4,0.28,7.63,30.18,17.56,58.2,0.18,0.34,0.2,487972,1740573
2025-07-27 21:38:00,0.2,600.0,38.95,5.4,0.28,7.63,30.18,17.56,58.2,0.23,0.34,0.2,491416,1743460
2025-07-27 21:38:11,0.0,600.0,37.97,5.4,0.28,7.63,30.18,17.56,58.2,0.18,0.33,0.19,501201,1828898
2025-07-27 21:38:22,0.0,1800.0,37.48,5.4,0.28,7.63,30.18,17.56,58.2,0.15,0.31,0.19,504490,1834586
2025-07-27 21:38:33,0.5,600.0,38.95,5.4,0.28,7.63,30.18,17.56,58.2,0.29,0.34,0.2,517339,1904068
2025-07-27 21:38:44,4.6,1800.0,38.46,5.4,0.28,7.63,30.18,17.56,58.2,0.24,0.33,0.2,520610,1907192
2025-07-27 21:38:55,13.1,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.21,0.31,0.19,531371,1995935
2025-07-27 21:39:06,8.7,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.24,0.32,0.2,537989,2006473
2025-07-27 21:39:17,0.2,600.0,38.95,5.4,0.28,7.63,30.18,17.57,58.2,0.2,0.3,0.19,546054,2073891
2025-07-27 21:39:28,1.0,600.0,37.48,5.4,0.28,7.63,30.18,17.57,58.2,0.17,0.29,0.19,555829,2090439
2025-07-27 21:39:39,0.0,1800.0,38.95,5.4,0.28,7.63,30.18,17.57,58.2,0.22,0.3,0.19,573319,2178634
2025-07-27 21:39:50,0.3,600.0,37.48,5.4,0.28,7.63,30.18,17.57,58.2,0.26,0.31,0.2,583678,2184724
2025-07-27 21:40:01,0.2,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.2,0.29,0.19,593477,2272272
2025-07-27 21:40:12,0.2,600.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.17,0.28,0.19,599468,2276479
2025-07-27 21:40:23,0.0,600.0,37.48,5.4,0.28,7.63,30.18,17.57,58.2,0.15,0.27,0.19,611433,2351910
2025-07-27 21:40:34,0.0,600.0,37.0,5.4,0.28,7.63,30.18,17.57,58.2,0.12,0.26,0.18,617438,2354499
2025-07-27 21:40:45,0.0,700.0,38.95,5.4,0.28,7.63,30.18,17.57,58.2,0.26,0.29,0.19,626848,2423543
2025-07-27 21:40:56,0.2,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.2,0.27,0.19,637251,2442615
2025-07-27 21:41:07,0.2,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.17,0.26,0.18,652730,2542847
2025-07-27 21:41:19,0.0,1800.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.23,0.27,0.19,654432,2543985
2025-07-27 21:41:30,0.0,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.27,0.28,0.19,668359,2618838
2025-07-27 21:41:41,9.9,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.23,0.27,0.19,670868,2621203
2025-07-27 21:41:52,12.9,1800.0,39.43,5.4,0.28,7.63,30.18,17.57,58.2,0.26,0.27,0.19,681575,2708451
2025-07-27 21:42:03,4.3,1800.0,38.95,5.4,0.28,7.63,30.18,17.57,58.2,0.22,0.26,0.19,686394,2711617
2025-07-27 21:42:14,8.5,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.18,0.25,0.18,694353,2778505
2025-07-27 21:42:25,0.0,600.0,37.48,5.4,0.28,7.63,30.18,17.57,58.2,0.16,0.24,0.18,697924,2784382
